Designator,Mid X,Mid Y,Layer,Rotation
C1,38.10,38.10,Bottom,180.0
C2,45.72,38.10,Bottom,180.0
C3,53.34,38.10,Bottom,180.0
C4,60.96,38.10,Bottom,180.0
C5,68.58,38.10,Bottom,180.0
C6,83.82,38.10,Bottom,180.0
C7,91.44,38.10,Bottom,180.0
C8,99.06,38.10,Bottom,180.0
C9,106.68,38.10,Bottom,180.0
C10,114.30,38.10,Bottom,180.0
C11,121.92,38.10,Bottom,180.0
C12,129.54,38.10,Bottom,180.0
C13,144.78,38.10,Bottom,180.0
C14,152.40,38.10,Bottom,180.0
C15,160.02,38.10,Bottom,180.0
C16,167.64,38.10,Bottom,180.0
C17,175.26,38.10,Bottom,180.0
C18,189.23,38.10,Bottom,0.0
C19,232.41,35.56,Bottom,90.0
C20,236.22,35.56,Bottom,90.0
C21,21.59,18.54,Bottom,270.0
C23,16.00,11.43,Bottom,90.0
C24,18.80, 6.35,Bottom,270.0
D1,18.80,24.64,Bottom,90.0
IC1,18.80,32.77,Bottom,90.0
J1, 0.00,21.59,Bottom,0.0
J2, 0.00,11.43,Bottom,0.0
J3, 0.00,31.75,Bottom,0.0
LED1,38.10,34.29,Bottom,180.0
LED2,45.72,34.29,Bottom,180.0
LED3,53.34,34.29,Bottom,180.0
LED4,60.96,34.29,Bottom,180.0
LED5,68.58,34.29,Bottom,180.0
LED6,83.82,34.29,Bottom,180.0
LED7,91.44,34.29,Bottom,180.0
LED8,99.06,34.29,Bottom,180.0
LED9,106.68,34.29,Bottom,180.0
LED10,114.30,34.29,Bottom,180.0
LED11,121.92,34.29,Bottom,180.0
LED12,129.54,34.29,Bottom,180.0
LED13,144.78,34.29,Bottom,180.0
LED14,152.40,34.29,Bottom,180.0
LED15,160.02,34.29,Bottom,180.0
LED16,167.64,34.29,Bottom,180.0
LED17,175.26,34.29,Bottom,180.0
LED18,189.23,34.29,Bottom,180.0
LED19,226.06,35.56,Bottom,180.0
LED20,242.57,35.56,Bottom,180.0
R1,38.10,29.21,Bottom,180.0
R2,45.72,29.21,Bottom,180.0
R3,53.34,29.21,Bottom,180.0
R4,60.96,29.21,Bottom,180.0
R5,68.58,29.21,Bottom,180.0
R6,83.82,29.21,Bottom,180.0
R7,91.44,29.21,Bottom,180.0
R8,99.06,29.21,Bottom,180.0
R9,106.68,29.21,Bottom,180.0
R10,114.30,29.21,Bottom,180.0
R11,121.92,29.21,Bottom,180.0
R12,129.54,29.21,Bottom,180.0
R13,144.78,29.21,Bottom,180.0
R14,152.40,29.21,Bottom,180.0
R15,160.02,29.21,Bottom,180.0
R16,167.64,29.21,Bottom,180.0
R17,175.26,29.21,Bottom,180.0
R18,195.58,25.40,Bottom,0.0
R19,195.58,16.51,Bottom,0.0
R20,195.58, 7.62,Bottom,0.0
R21,233.43, 4.57,Bottom,270.0
R22,236.73, 4.57,Bottom,270.0
R23,18.80,18.54,Bottom,270.0
R24,16.00,18.54,Bottom,270.0
R25,21.59,24.64,Bottom,90.0
R26,16.00,24.64,Bottom,90.0
R31,16.00, 6.35,Bottom,90.0
R32,18.80,11.43,Bottom,270.0
R33,21.59,11.43,Bottom,90.0
U1,228.00,20.05,Bottom,90.0
